Title,Duration in minutes,Rating (Numeric),Rating (Label),Votes,Link,Genres,Poster Link,Description,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
The Shawshank Redemption,0.5025906735751295,9.3,R,1.0,https://www.imdb.com/title/tt0111161/,Drama,https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_.jpg,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather,0.6735751295336787,9.2,R,0.6950920166598725,https://www.imdb.com/title/tt0068646/,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BYTJkNGQyZDgtZDQ0NC00MDM0LWEzZWQtYzUzZDEwMDljZWNjXkEyXkFqcGc@._V1_.jpg,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight,0.5544041450777202,9.0,PG-13,0.9933732997215468,https://www.imdb.com/title/tt0468569/,"Action, Crime, Drama",https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather Part II,0.8134715025906736,9.0,R,0.4658653108380435,https://www.imdb.com/title/tt0071562/,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BNzc1OWY5MjktZDllMi00ZDEzLWEwMGItYjk1YmRhYjBjNTVlXkEyXkFqcGc@._V1_.jpg,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Angry Men,0.26424870466321243,9.0,Approved,0.29603283571394284,https://www.imdb.com/title/tt0050083/,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_.jpg,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,0.8082901554404147,9.0,PG-13,0.6814411154894766,https://www.imdb.com/title/tt0167260/,"Adventure, Drama, Fantasy",https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_.jpg,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Schindler&apos;s List,0.7772020725388602,9.0,R,0.4965556707045428,https://www.imdb.com/title/tt0108052/,"Biography, Drama, History",https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_.jpg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pulp Fiction,0.5647668393782384,8.9,R,0.7652647333805196,https://www.imdb.com/title/tt0110912/,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_.jpg,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,0.689119170984456,8.9,PG-13,0.691437444692995,https://www.imdb.com/title/tt0120737/,"Adventure, Drama, Fantasy",https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_.jpg,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Il buono, il brutto, il cattivo",0.689119170984456,8.8,R,0.2739492429573775,https://www.imdb.com/title/tt0060196/,"Adventure, Drama, Western",https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_.jpg,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
